,City,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Wind Speed
0,hilo,8.329366435845202,-152.4694651921682,82.96880000000006,61,94,1.28
1,batagay,68.71387986965155,134.2029825116511,17.564000000000032,63,100,1.896
2,mys shmidta,89.5528315572117,-177.05094602965778,18.582800000000088,95,100,3.11
3,rikitea,-14.908805324915662,-111.88910611035506,72.49280000000007,70,18,5.87
4,longyearbyen,86.38612368742375,24.921447133559496,25.170800000000032,96,100,3.42
5,bakel,14.542406034684603,-12.876021748165414,76.54280000000007,83,100,3.12
6,makokou,0.4985039460378715,13.777783095474916,64.69879999999999,99,64,0.64
7,kpandae,8.164949046069339,-0.23725030363073074,73.66280000000003,95,100,2.31
8,arraial do cabo,-30.11936138244073,-32.304853651845605,67.32680000000006,90,38,6.5
9,ushuaia,-69.23427382341339,-59.37694153969075,-5.663199999999961,96,47,8.42
10,albany,-58.70662167053645,118.04062929035325,25.098799999999994,79,100,9.24
11,atuona,-10.369072464354886,-118.30116478967686,75.49879999999999,73,62,6.57
12,smithers,58.82347151279271,-128.08329843703416,17.61080000000005,85,100,1.27
13,nador,34.39827059975367,-1.9585542085912664,62.6,48,0,1.0
14,new norfolk,-71.36640645327422,127.99059354126337,-35.59719999999996,96,100,4.9
15,ilulissat,75.68574049349675,-49.896584838723186,-9.74919999999998,98,100,5.33
16,taolanaro,-63.27068822561982,66.73487058844515,-4.43919999999995,94,0,5.39
17,cape town,-39.52717954059419,12.5035639033986,53.28680000000004,69,78,12.92
18,labrea,-6.855248859827313,-64.73929270068191,73.75280000000005,91,17,0.72
19,mataura,-30.470067097271354,-153.80181252769017,60.03680000000004,67,67,7.61
20,grand river south east,-20.061340808511744,74.94578065518706,72.2228,78,31,9.37
21,punta arenas,-76.16430848748152,-86.1642182735652,-21.071199999999962,99,100,5.26
22,winburg,-28.63033375138582,26.810673876156727,46.84280000000007,44,0,2.37
23,tokonou,9.678721008990308,-9.411791401528063,68.91080000000005,97,100,1.78
24,buala,-0.9055841332763634,161.82610854037614,86.1908,67,70,4.43
25,mocuba,-20.28306134119643,40.02270340162099,77.24480000000004,83,0,7.2
26,vizinga,60.85063520179841,49.425135396886304,43.11680000000008,92,100,5.39
27,olafsvik,67.93210814111731,-30.484081368554087,39.58880000000001,61,100,3.82
28,kapaa,34.74673237907743,-154.89106489539614,70.98080000000002,73,37,5.57
29,banjar,-12.083325888082157,106.0962180037692,75.9308,83,77,6.18
30,sao paulo de olivenca,-3.645540771356579,-69.16504324657008,73.55480000000003,97,100,1.09
31,sao filipe,7.406018802365608,-28.283139742279275,80.7728,80,97,5.97
32,nadym,64.47628985310061,71.9790812375272,34.602800000000045,72,99,3.49
33,kudahuvadhoo,3.56926154221739,63.36131856151576,82.98680000000004,70,64,2.48
34,persianovskiy,47.56943281198275,39.39064262877676,48.2,76,20,6.0
35,rocha,-38.693101481368856,-51.887256709422076,55.806799999999996,73,1,12.29
36,majene,-2.475584570106207,118.0932021416013,82.39280000000007,75,18,2.7
37,kodiak,53.454717330351684,-145.827259796485,49.74079999999999,69,0,4.73
38,pontianak,-1.69873640007269,109.49842463423539,79.45880000000008,78,96,2.95
39,mar del plata,-55.941077246040095,-39.906984891098006,31.794800000000045,98,100,8.44
40,kamenskoye,65.00725001695912,169.57641477082376,20.43680000000004,90,75,4.5
41,ponta do sol,20.5613320527806,-37.40963008116444,78.23480000000006,71,64,6.85
42,port alfred,-53.41662637918034,32.37166920965305,33.25280000000005,91,100,14.43
43,lebu,-37.79425819818281,-78.13069390764316,53.070800000000034,77,100,1.65
44,faanui,-11.553845274992824,-154.25555122359935,81.42080000000003,75,34,4.9
45,hermanus,-45.01979132751724,16.268886772393813,46.17680000000006,67,20,13.2
46,tigil,57.83409325869826,157.20047547206457,41.604800000000026,75,89,6.32
47,sur,21.617535526221914,60.06325425863682,78.9728,79,0,0.39
48,bredasdorp,-86.41567938945015,15.072510429826792,-45.31719999999996,97,100,5.08
49,khatanga,78.3032370881186,98.63467189770898,27.0068,80,78,5.21
50,zalantun,47.53404654295255,121.19459753358018,42.66680000000008,41,0,6.27
51,broken hill,-29.183611121928557,144.55788475297516,73.32080000000003,22,0,10.06
52,kamenka,70.70632587721761,45.74268588741813,37.03280000000009,79,92,7.27
53,lososina,48.82745384094298,140.52654437131508,52.71080000000005,81,100,7.1
54,bluff,-71.93986255171208,162.16732876527806,-13.961199999999934,64,0,4.64
55,isangel,-18.53332588595697,170.95244283630848,75.62480000000008,86,98,6.87
56,thompson,56.98303977094838,-91.04575227875134,38.022800000000004,76,86,6.51
57,vaini,-26.726839689500437,-170.85819426963272,64.41080000000005,68,100,7.69
58,bethel,50.58095669783967,-163.2838811798011,52.89079999999999,83,100,5.86
59,hobart,-64.63343139782982,150.775417181019,28.248799999999996,95,100,7.04
60,saskylakh,73.76551826285524,115.12795645919613,31.668800000000054,76,100,7.27
61,tambopata,-13.043395261584593,-69.98965903706795,64.89680000000001,98,42,0.24
62,iralaya,15.672243245849572,-83.05015437721045,84.89480000000005,77,79,6.67
63,jalu,25.80285179724936,24.47780531960254,69.6488,38,0,2.93
64,tommot,60.286280257416024,126.10254570279699,32.10080000000007,74,100,3.03
65,victoria,-5.580949637732402,55.62767137657957,80.37680000000006,83,77,5.41
66,qaanaaq,84.23662640190162,-82.41028287509866,9.402800000000049,80,0,2.71
67,necochea,-44.78300726579632,-55.81873254744036,45.4568,74,0,8.96
68,busselton,-46.146200702425915,86.18873829118064,42.72080000000003,84,100,7.45
69,hithadhoo,-16.074703527538958,84.91838995535863,76.88480000000007,78,18,6.47
70,mayumba,-4.831647972029145,9.318747140758063,75.55280000000005,88,100,5.98
71,riedlingen,48.271960871339616,9.545031702613386,51.998000000000026,87,75,3.1
